121.795 0.108193
122.202 0.110590
123.134 0.114587
123.833 0.117784
124.940 0.122979
125.697 0.126975
126.453 0.132567
127.269 0.138160
128.084 0.145350
128.899 0.150543
129.539 0.154539
130.180 0.159732
130.995 0.165324
131.868 0.170918
132.509 0.176510
133.091 0.179706
133.906 0.185299
134.546 0.190093
135.478 0.196485
136.410 0.202876
137.400 0.206873
138.273 0.211668
139.438 0.217662
140.603 0.223257
141.476 0.228850
142.524 0.232847
143.631 0.237643
144.796 0.240842
145.670 0.240448
146.835 0.240054
148.292 0.238465
150.099 0.236478
151.672 0.234090
153.421 0.229708
154.412 0.225721
155.636 0.220138
156.511 0.211360
157.385 0.204578
158.551 0.197398
159.310 0.189817
160.476 0.185831
161.058 0.184237
161.815 0.187434
162.688 0.197419
163.095 0.207002
163.677 0.216186
164.375 0.225770
164.899 0.230164
166.122 0.235360
167.812 0.235368
169.502 0.234978
171.599 0.237783
173.930 0.237395
176.085 0.238603
178.358 0.238215
179.989 0.239421
183.194 0.239437
186.340 0.238255
191.409 0.239079
195.197 0.239098
199.159 0.238319
200.091 0.237925
